lyric,line,album,track_n,song_name
yeah,1,Music To Be Murdered By,1,Premonition (Intro)
"so i guess this is what it is, huh?",2,Music To Be Murdered By,1,Premonition (Intro)
think it obvious,3,Music To Be Murdered By,1,Premonition (Intro)
we aint never going to see eye to eye,4,Music To Be Murdered By,1,Premonition (Intro)
but it funny,5,Music To Be Murdered By,1,Premonition (Intro)
as much as i hate you,6,Music To Be Murdered By,1,Premonition (Intro)
i need you,7,Music To Be Murdered By,1,Premonition (Intro)
this is music to be murdered by,8,Music To Be Murdered By,1,Premonition (Intro)
they said my last album i sounded bitter,9,Music To Be Murdered By,1,Premonition (Intro)
"no, i sound like a spitter",10,Music To Be Murdered By,1,Premonition (Intro)
who ninety percent of,11,Music To Be Murdered By,1,Premonition (Intro)
these hypocrites are tryna get rid of,12,Music To Be Murdered By,1,Premonition (Intro)
but why would i get a chip on my shoulder?,13,Music To Be Murdered By,1,Premonition (Intro)
"i was considered, one time, as the illest",14,Music To Be Murdered By,1,Premonition (Intro)
"bitch, i am still as fly as your zipper",15,Music To Be Murdered By,1,Premonition (Intro)
"true, i just get richer",16,Music To Be Murdered By,1,Premonition (Intro)
but if it was ever all about skrilla,17,Music To Be Murdered By,1,Premonition (Intro)
then i woulda quit a long motherfucking time ago,18,Music To Be Murdered By,1,Premonition (Intro)
"bitch, shut the fuck up",19,Music To Be Murdered By,1,Premonition (Intro)
i should go say that shit to tech n9ne or to jigga,20,Music To Be Murdered By,1,Premonition (Intro)
"nobody said shit about 2 chainz as long as he been here, shit",21,Music To Be Murdered By,1,Premonition (Intro)
"no wonder you are mad, now i am",22,Music To Be Murdered By,1,Premonition (Intro)
"looking at them plaques, count them (yeah)",23,Music To Be Murdered By,1,Premonition (Intro)
"i am ll cool j, bigger and deffer, that how come (uh)",24,Music To Be Murdered By,1,Premonition (Intro)
i sell like four mil' when i put out a bad album (what?),25,Music To Be Murdered By,1,Premonition (Intro)
"revival flopped, came back and i scared the crap out them",26,Music To Be Murdered By,1,Premonition (Intro)
"but rolling stone stars, i get two and a half outta",27,Music To Be Murdered By,1,Premonition (Intro)
"five, and i will laugh out loud",28,Music To Be Murdered By,1,Premonition (Intro)
'cause that what they gave bad back in the day,29,Music To Be Murdered By,1,Premonition (Intro)
"which actually made me not feel as bad now, 'cause",30,Music To Be Murdered By,1,Premonition (Intro)
if it happened to james,31,Music To Be Murdered By,1,Premonition (Intro)
it can happen to shady,32,Music To Be Murdered By,1,Premonition (Intro)
they do the same shit to brady,33,Music To Be Murdered By,1,Premonition (Intro)
more people hate me than love me,34,Music To Be Murdered By,1,Premonition (Intro)
this game will make you go crazy,35,Music To Be Murdered By,1,Premonition (Intro)
'bout to go for b-r-o-k-e,36,Music To Be Murdered By,1,Premonition (Intro)
"i was the g, the o-a-t",37,Music To Be Murdered By,1,Premonition (Intro)
once i was played in rotation,38,Music To Be Murdered By,1,Premonition (Intro)
at every radio station,39,Music To Be Murdered By,1,Premonition (Intro)
they said i am lyrically amazing,40,Music To Be Murdered By,1,Premonition (Intro)
but i have nothing to say,41,Music To Be Murdered By,1,Premonition (Intro)
but then when i put out revival and i had something to say,42,Music To Be Murdered By,1,Premonition (Intro)
they said that they hated the awake me,43,Music To Be Murdered By,1,Premonition (Intro)
"i lose the rage, i am too tame",44,Music To Be Murdered By,1,Premonition (Intro)
"i get it back, they say i am too angry",45,Music To Be Murdered By,1,Premonition (Intro)
i need to get me some dre beats,46,Music To Be Murdered By,1,Premonition (Intro)
"no, i should hook up with tay keith",47,Music To Be Murdered By,1,Premonition (Intro)
fans keep on pulling me one way,48,Music To Be Murdered By,1,Premonition (Intro)
haters pull me in another,49,Music To Be Murdered By,1,Premonition (Intro)
got more hooks in me than swae lee,50,Music To Be Murdered By,1,Premonition (Intro)
'bout to pick up some weights and lift 'til my tattoo of hailie face stretches,51,Music To Be Murdered By,1,Premonition (Intro)
"they said i am just a whiner, i sound like a baby",52,Music To Be Murdered By,1,Premonition (Intro)
i dish it out but cannot take it,53,Music To Be Murdered By,1,Premonition (Intro)
"but i take it, dish it back out",54,Music To Be Murdered By,1,Premonition (Intro)
and they get all bent out of shape,55,Music To Be Murdered By,1,Premonition (Intro)
this shit almost comical,56,Music To Be Murdered By,1,Premonition (Intro)
"wait, and i meant no disrespect",57,Music To Be Murdered By,1,Premonition (Intro)
"i was not dissingtech, that was not a shot at 2 chainz or to jay-z",58,Music To Be Murdered By,1,Premonition (Intro)
they probably feel the same way because lately,59,Music To Be Murdered By,1,Premonition (Intro)
instead of us being credited for longevity,60,Music To Be Murdered By,1,Premonition (Intro)
"and being able to keep it up for this long at this level, we",61,Music To Be Murdered By,1,Premonition (Intro)
get told we will never be what we were,62,Music To Be Murdered By,1,Premonition (Intro)
"bitch, if i was as half as good as i was",63,Music To Be Murdered By,1,Premonition (Intro)
i am still twice as good as you will ever be,64,Music To Be Murdered By,1,Premonition (Intro)
only way that you are ahead of me alphabetically,65,Music To Be Murdered By,1,Premonition (Intro)
'cause if you diss me i am coming after you like the letter v,66,Music To Be Murdered By,1,Premonition (Intro)
"killing everything, play this tune, it your eulogy",67,Music To Be Murdered By,1,Premonition (Intro)
"it your funeral, prepare to die",68,Music To Be Murdered By,1,Premonition (Intro)
this is music for you to be murdered by,69,Music To Be Murdered By,1,Premonition (Intro)
"oh, this what we doin'? alright",1,Music To Be Murdered By,2,Unaccommodating
m.a,2,Music To Be Murdered By,2,Unaccommodating
"game over, thanos on you h-o",3,Music To Be Murdered By,2,Unaccommodating
on my petty shit but i do not paint toes (yeah),4,Music To Be Murdered By,2,Unaccommodating
get the plunger (plunger) 'cause marshall and m.a go plum crazy,5,Music To Be Murdered By,2,Unaccommodating
"call us liquid plumber, 'cause even dre know (dre know)",6,Music To Be Murdered By,2,Unaccommodating
beat knocks like a beefed up detox,7,Music To Be Murdered By,2,Unaccommodating
you are going to need three squads of police officers at least to come pull me off of it and i do not stop,8,Music To Be Murdered By,2,Unaccommodating
"please, dawg, i need you all to keep talking shit 'cause i feed off of it",9,Music To Be Murdered By,2,Unaccommodating
"i am the complete opposite of these retards who spit these weak bars, i ama leave carnage",10,Music To Be Murdered By,2,Unaccommodating
"each thought will be so toxic, it will block the wind through your esophagus",11,Music To Be Murdered By,2,Unaccommodating
"stop it, cutting off your oxygen",12,Music To Be Murdered By,2,Unaccommodating
and i hit them pads like a boxing gym,13,Music To Be Murdered By,2,Unaccommodating
"better watch for slim, better get to popping and when i am at the top again",14,Music To Be Murdered By,2,Unaccommodating
